time,open,high,low,close,Kalman Filter,Upper Band,Lower Band,Plot,Plot,Anomaly,KMEMA RSI,KMEMA Momentum,KMEMA Volatility,RSI Feature,Momentum Feature,Volatility Feature,Mahalanobis Distance
1772570700,0.9077,0.9082,0.901,0.9036,0.9050907858259056,1.4022965737044841,0.40788499794732713,1.4022965737044841,0.40788499794732713,,0.9051910443382674,0.9048977274315255,0.9053267676839564,-0.08079798171029921,-2.1690807192273436,-0.09387037376795306,0
1772571600,0.9036,0.9037,0.896,0.8975,0.900399422184175,1.3976052100627534,0.40319363430559657,1.3976052100627534,0.40319363430559657,,0.9049329615432838,0.9029463682830222,0.9052214686974615,-0.18188075830229222,-2.327561502706334,-0.09905418185422522,0
1772572500,0.8974,0.8991,0.893,0.895,0.8970623957547447,1.394268183633323,0.39985660787616617,1.394268183633323,0.39985660787616617,,0.9046538815373157,0.901419292535022,0.9051198229949152,-0.21975068351751545,-2.060143849231686,-0.11048038477775315,0
1772573400,0.8951,0.8987,0.8944,0.8981,0.8977036704451836,1.394909458323762,0.4004978825666052,1.394909458323762,0.4004978825666052,,0.9044926913203116,0.9004935982672985,0.9050189572855979,-0.1487427317673817,-1.5297863148540305,-0.12624410532050812,0
1772574300,0.898,0.9,0.8964,0.8989,0.8984430427718062,1.3956488306503847,0.4012372548932277,1.3956488306503847,0.4012372548932277,,0.9043704669468636,0.8995144239714634,0.904918418779027,-0.13045324591056995,-1.7050673759673378,-0.14185853981191743,0
1772575200,0.8989,0.9088,0.8985,0.9057,0.9029280889937341,1.4001338768723126,0.40572230111515567,1.4001338768723126,0.40572230111515567,,0.9044405900711007,0.8991022397115417,0.9048416899860583,0.013343284037319308,-1.139063195923281,-0.11910380605706722,0
1772576100,0.9057,0.9084,0.9037,0.9067,0.9052592581981462,1.4024650460767247,0.40805347031956773,1.4024650460767247,0.40805347031956773,,0.9045278351566807,0.8993076048440827,0.9047678469762637,0.032827173522968135,-0.4509630829636073,-0.1272272622118835,0
1772577000,0.9066,0.9127,0.9062,0.9118,0.9093016589433291,1.4065074468219076,0.4120958710647507,1.4065074468219076,0.4120958710647507,,0.9047254387483711,0.9005207346554102,0.9047029942170683,0.12746156762544117,0.7762221151839477,-0.12441740416898893,0
1772577900,0.9118,0.9119,0.9076,0.9093,0.9093006336599663,1.4065064215385448,0.4120948457813878,1.4065064215385448,0.4120948457813878,,0.9048328567393557,0.9012107287692889,0.9046396472890729,0.07208468212446548,0.3029644314242259,-0.13308877988165907,0
1772578800,0.9092,0.9183,0.9082,0.9137,0.9120195915870694,1.4092253794656477,0.4148138037084909,1.4092253794656477,0.4148138037084909,,0.9050290383587687,0.9021299082242892,0.9045978980617689,0.15111154766538235,0.6564048567364976,-0.10832886057213267,0
1772579700,0.9137,0.9147,0.91,0.9107,0.911204039134992,1.4084098270135705,0.41399825125641354,1.4084098270135705,0.41399825125641354,,0.9051202958866438,0.9030119836679644,0.904557013333559,0.08336392731175096,0.7258120326129395,-0.11384572829797754,0
1772580600,0.9107,0.9124,0.9079,0.9108,0.9109543292167819,1.4081601170953604,0.41374854133820343,1.4081601170953604,0.41374854133820343,,0.9052047511824397,0.9042950004474698,0.9045167759333489,0.08529643146753983,1.3145244951794093,-0.11942214935537766,0
1772581500,0.9108,0.9118,0.9074,0.9085,0.9094374703412288,1.4066432582198072,0.4122316824626503,1.4066432582198072,0.4122316824626503,,0.905213528958176,0.9055471459171838,0.904476901466852,0.03143500180431573,1.4284922500414101,-0.12515525853250667,0
1772582400,0.9085,0.9093,0.9059,0.9081,0.9086108682114045,1.405816656089983,0.411405080332826,1.405816656089983,0.411405080332826,,0.9052095469570942,0.9064584296192886,0.9044344181498565,0.021936171874566666,1.1715764054846065,-0.13579334777831337,0
1772583300,0.908,0.9113,0.9074,0.9089,0.9087895614839846,1.4059953493625632,0.4115837736054061,1.4059953493625632,0.4115837736054061,,0.9052297153335036,0.9076065983432332,0.9043922800115083,0.040959215437467125,1.5669131580121818,-0.14212155051357547,0
1772584200,0.9089,0.9093,0.8982,0.8996,0.9031101001451751,1.4003158880237536,0.4059043122665967,1.4003158880237536,0.4059043122665967,,0.9049912503604151,0.9064991500161774,0.9043783881317701,-0.16287638732808674,-0.9933430681371663,-0.10342040945394507,0
1772585100,0.8996,0.9086,0.8996,0.9063,0.9050815666761652,1.4022873545547436,0.40787577879758674,1.4022873545547436,0.40787577879758674,,0.9049701895176789,0.9062816290630298,0.9043805051477736,-0.009508987411530967,-0.06838646027070283,-0.08021004080480365,0
1772586000,0.9064,0.9102,0.9032,0.9049,0.9049693522990708,1.4021751401776492,0.4077635644204924,1.4021751401776492,0.4077635644204924,,0.904915664424586,0.9053287083327585,0.9043879652896109,-0.038057694470811185,-0.9790632618690825,-0.07129924768518349,0
1772586900,0.9048,0.9108,0.9029,0.9087,0.9072750193782967,1.404480807256875,0.4100692314997182,1.404480807256875,0.4100692314997182,,0.904967465055665,0.9052161965175856,0.9044029085696902,0.042604071428225726,-0.0831883134618002,-0.05820044293252815,0
1772587800,0.9086,0.9161,0.9071,0.9127,0.9106278417908188,1.4078336296693972,0.41342205391224035,1.4078336296693972,0.41342205391224035,,0.905111411450093,0.9050710297692502,0.9044282568926325,0.12011012628409759,-0.13551068555912155,-0.039264258806355166,0
1772588700,0.9126,0.9128,0.9076,0.9095,0.9099307972301602,1.4071365851087387,0.41272500935158174,1.4071365851087387,0.41272500935158174,,0.9051490702793262,0.904919527866962,0.9044471037014213,0.047080544177049294,-0.161327049229397,-0.04543148970196919,0
1772589600,0.9095,0.911,0.9054,0.9084,0.908984712512037,1.4061905003906154,0.4117789246334586,1.4061905003906154,0.4117789246334586,,0.9051521279753119,0.904620621731052,0.9044624283390031,0.022403795648318122,-0.35635264343046796,-0.04805926863479301,0
1772590500,0.9083,0.9105,0.9042,0.9056,0.906892845137451,1.4040986330160297,0.40968705725887256,1.4040986330160297,0.40968705725887256,,0.9050771866119098,0.9042078795899937,0.9044775568296584,-0.0396391383733939,-0.52794945989005,-0.04596305149268294,0
1772591400,0.9056,0.9093,0.9046,0.9082,0.907700711271066,1.4049064991496445,0.41049492339248755,1.4049064991496445,0.41049492339248755,,0.9050842380508324,0.9042963495678342,0.9044855595979144,0.019840281596010385,0.023004376308729202,-0.05489142549620975,0
1772592300,0.9082,0.9132,0.9071,0.9111,0.9098015872431217,1.4070073751217,0.41259579936454316,1.4070073751217,0.41259579936454316,,0.9051695283831012,0.9050514774136276,0.9044928541296374,0.08286714425943628,0.8319022257456867,-0.05476733835016131,0
1772593200,0.9111,0.9113,0.9059,0.9091,0.9093679824807992,1.4065737703593777,0.41216219460222075,1.4065737703593777,0.41216219460222075,,0.905184405330243,0.9070227979480946,0.9044974661065308,0.03350889584920523,2.385880566437364,-0.05786205463996464,0
