Date,Message
2025-09-04T06:15:00.000+03:00,"LONGEVAL,bar=301,entryCtx=1000,z0=-1.911,mr=-2.127,vec=-0.645,basket=36.29,burst=-0.000608,te=NaN,innW=4.0486,innWmed=1.5176,innRatio=2.668,knn=NaN,phiTotal=-0.06,triggered=0"
2025-09-04T06:30:00.000+03:00,"LONGEVAL,bar=302,entryCtx=1000,z0=-1.981,mr=-2.217,vec=-0.703,basket=36.54,burst=-0.000528,te=NaN,innW=4.1033,innWmed=1.6979,innRatio=2.417,knn=NaN,phiTotal=-0.059,triggered=0"
2025-09-04T06:45:00.000+03:00,"LONGEVAL,bar=303,entryCtx=1000,z0=-1.273,mr=-1.881,vec=-0.628,basket=36.29,burst=-0.001492,te=NaN,innW=4.153,innWmed=1.8538,innRatio=2.24,knn=NaN,phiTotal=-0.052,triggered=0"
2025-09-04T07:00:00.000+03:00,"LONGEVAL,bar=304,entryCtx=1000,z0=-1.159,mr=-1.638,vec=-0.605,basket=35.97,burst=-0.001743,te=NaN,innW=4.1437,innWmed=1.9731,innRatio=2.1,knn=NaN,phiTotal=-0.048,triggered=0"
2025-09-04T07:15:00.000+03:00,"LONGEVAL,bar=305,entryCtx=1000,z0=-1.183,mr=-1.552,vec=-0.595,basket=36.11,burst=-0.001965,te=NaN,innW=4.1058,innWmed=2.0723,innRatio=1.981,knn=NaN,phiTotal=-0.044,triggered=0"
2025-09-04T07:30:00.000+03:00,"LONGEVAL,bar=306,entryCtx=1000,z0=-1.043,mr=-1.4,vec=-0.556,basket=37.01,burst=-0.000771,te=NaN,innW=3.996,innWmed=2.2001,innRatio=1.816,knn=NaN,phiTotal=-0.04,triggered=0"
2025-09-04T07:45:00.000+03:00,"LONGEVAL,bar=307,entryCtx=1000,z0=-1.087,mr=-1.295,vec=-0.897,basket=38.18,burst=-0.000219,te=NaN,innW=3.9065,innWmed=2.3775,innRatio=1.643,knn=NaN,phiTotal=-0.037,triggered=0"
2025-09-04T08:00:00.000+03:00,"LONGEVAL,bar=308,entryCtx=1000,z0=-1.175,mr=-1.323,vec=-0.842,basket=38.77,burst=0.000149,te=NaN,innW=3.8198,innWmed=2.5607,innRatio=1.492,knn=NaN,phiTotal=-0.026,triggered=0"
2025-09-04T08:15:00.000+03:00,"LONGEVAL,bar=309,entryCtx=1000,z0=-1.17,mr=-1.297,vec=-0.892,basket=38.58,burst=0.000161,te=NaN,innW=3.7068,innWmed=2.7343,innRatio=1.356,knn=NaN,phiTotal=-0.018,triggered=0"
2025-09-04T08:30:00.000+03:00,"LONGEVAL,bar=310,entryCtx=1000,z0=-1.242,mr=-1.323,vec=-0.861,basket=39.56,burst=-0.00142,te=NaN,innW=3.6019,innWmed=2.8835,innRatio=1.249,knn=NaN,phiTotal=-0.01,triggered=0"
2025-09-04T08:45:00.000+03:00,"LONGEVAL,bar=311,entryCtx=1000,z0=-1.079,mr=-1.283,vec=-0.751,basket=40.7,burst=-0.000633,te=NaN,innW=3.4393,innWmed=2.9945,innRatio=1.149,knn=NaN,phiTotal=-0.005,triggered=0"
2025-09-04T09:00:00.000+03:00,"LONGEVAL,bar=312,entryCtx=1000,z0=-1.129,mr=-1.318,vec=-0.629,basket=40.09,burst=-0.000293,te=NaN,innW=3.3069,innWmed=3.0829,innRatio=1.073,knn=NaN,phiTotal=0.003,triggered=0"
2025-09-04T09:15:00.000+03:00,"LONGEVAL,bar=313,entryCtx=1000,z0=-1.124,mr=-1.323,vec=-0.654,basket=40.8,burst=-0.00002,te=NaN,innW=3.1974,innWmed=3.162,innRatio=1.011,knn=NaN,phiTotal=0.01,triggered=0"
2025-09-04T09:30:00.000+03:00,"LONGEVAL,bar=314,entryCtx=1000,z0=-0.988,mr=-1.238,vec=-0.643,basket=40.46,burst=0.000018,te=NaN,innW=3.0431,innWmed=3.162,innRatio=0.962,knn=NaN,phiTotal=0.018,triggered=0"
2025-09-04T09:45:00.000+03:00,"LONGEVAL,bar=315,entryCtx=1000,z0=-1.02,mr=-1.232,vec=-0.63,basket=40.88,burst=0.000056,te=NaN,innW=2.9273,innWmed=3.162,innRatio=0.926,knn=NaN,phiTotal=0.03,triggered=0"
2025-09-04T10:00:00.000+03:00,"LONGEVAL,bar=316,entryCtx=1000,z0=-0.75,mr=-1.069,vec=-0.513,basket=43.88,burst=0.000026,te=NaN,innW=2.7362,innWmed=3.162,innRatio=0.865,knn=NaN,phiTotal=0.039,triggered=0"
2025-09-04T10:15:00.000+03:00,"LONGEVAL,bar=317,entryCtx=1000,z0=-0.889,mr=-1.06,vec=-0.581,basket=44.29,burst=0.000014,te=NaN,innW=2.6115,innWmed=3.162,innRatio=0.826,knn=NaN,phiTotal=0.046,triggered=0"
2025-09-04T10:30:00.000+03:00,"LONGEVAL,bar=318,entryCtx=1000,z0=-0.681,mr=-0.943,vec=-0.591,basket=44.29,burst=0,te=NaN,innW=2.4244,innWmed=3.162,innRatio=0.767,knn=NaN,phiTotal=0.047,triggered=0"
2025-09-04T10:45:00.000+03:00,"LONGEVAL,bar=319,entryCtx=1000,z0=-0.501,mr=-0.824,vec=-0.509,basket=44.92,burst=0,te=NaN,innW=2.2417,innWmed=3.162,innRatio=0.709,knn=NaN,phiTotal=0.043,triggered=0"
2025-09-04T12:00:00.000+03:00,"LONGEVAL,bar=324,entryCtx=1000,z0=-0.522,mr=-0.542,vec=-0.213,basket=44.73,burst=0,te=NaN,innW=1.4929,innWmed=3.162,innRatio=0.472,knn=NaN,phiTotal=0.019,triggered=0"
